"","calendar_date","median_cumcases"
"1",2020-03-01,0
"2",2020-03-02,0
"3",2020-03-03,0
"4",2020-03-04,0
"5",2020-03-05,1
"6",2020-03-06,1
"7",2020-03-07,2
"8",2020-03-08,3
"9",2020-03-09,8
"10",2020-03-10,9
"11",2020-03-11,15
"12",2020-03-12,20
"13",2020-03-13,29
"14",2020-03-14,29
"15",2020-03-15,32
"16",2020-03-16,34
"17",2020-03-17,34
"18",2020-03-18,37
"19",2020-03-19,37
"20",2020-03-20,38
"21",2020-03-21,38
"22",2020-03-22,39
"23",2020-03-23,43
"24",2020-03-24,43
"25",2020-03-25,45
"26",2020-03-26,46
"27",2020-03-27,48
